병원명,위도,경도,우편번호,전화번호
더바른의원,37.3843,126.9446,34014,042-331-8275
동행어린이치과의원,37.3801,126.9503,34017,042-721-5928
연세정원치과의원,37.3849,126.9449,34201,042-825-0428
더오래치과의원,37.3860,126.9520,34019,042-721-2100
나음치과의원,37.3892,126.9348,34117,042-864-2222
미소가득치과의원,37.3923,126.9445,34052,042-864-2879
범미르부부한의원,37.3936,126.9405,34195,042-710-6812
평촌한의원,37.3811,126.9490,34219,042-543-8895
엠치과의원,37.3925,126.9430,34019,042-671-2875
엑스포의원,37.3856,126.9432,34052,042-863-6633
이앤와이치과의원,37.3943,126.9398,34139,042-710-2885
베스트내과의원,37.3786,126.9425,34210,042-721-7502
애플치과의원,37.3840,126.9480,34018,042-721-2879
스마일리소아치과의원,37.3870,126.9393,34188,042-721-5100
담비한의원,37.3922,126.9375,34199,042-710-3929
유성온치과의원,37.3899,126.9400,34168,042-822-2879
올리브정신건강의학과의원,37.3878,126.9357,34086,042-826-7007
닥터올웨이즈피부과의원,37.3920,126.9329,34168,042-322-7778
미소봄한의원,37.3951,126.9438,34127,042-826-1075
장바른내과의원,37.3831,126.9442,34071,042-823-7582
웰신경과의원,37.3805,126.9523,34018,042-721-3211
무한승한의원,37.3830,126.9507,34070,042-822-7582
의료법인삼광의료재단 에스엠엘대전의원,37.3840,126.9435,34097,1661-5117
내일봄정신건강의학과의원,37.3895,126.9448,34049,042-721-7776
몸사랑마음사랑한의원,37.3827,126.9421,34154,042-521-2255
봄빛치과의원,37.3953,126.9443,34195,042-710-5115
바로엘내과의원,37.3926,126.9426,34189,042-825-8875
송강미소내과의원,37.3803,126.9465,34008,042-710-7505
문지한의원,37.3922,126.9400,34050,042-864-1070
더스마트치과의원,37.3875,126.9480,34126,042-607-8414
좋아서하는의원,37.3891,126.9434,34185,042-710-8575
나이스치과의원,37.3800,126.9445,34223,042-483-5222
반석편한신경외과의원,37.3837,126.9505,34068,042-721-7557
성애참의원,37.3870,126.9456,34227,042-543-8196
코넬부부의원,37.3856,126.9438,34169,042-825-0348
유성서울연합의원,37.3920,126.9361,34179,042-825-5557
반석마취통증의학과의원,37.3820,126.9407,34068,042-721-7522
여송한의원,37.3835,126.9503,34086,042-826-9588
편한내과의원,37.3848,126.9423,34073,042-716-1175
케이한마음의원,37.3865,126.9452,34218,042-826-5577
원마취통증의학과의원,37.3843,126.9381,34190,042-710-8875
참사랑한의원,37.3867,126.9473,34059,042-863-1275
옹달샘한의원,37.3888,126.9322,34121,042-863-8531
스타뷰의원,37.3815,126.9490,34068,042-826-5563
연세으뜸이비인후과의원,37.3866,126.9392,34086,042-477-0275
유성언니여성의원,37.3850,126.9410,34188,042-719-8375
올뷰티의원,37.3825,126.9485,34190,042-822-9787
우종설성형외과의원,37.3894,126.9440,34188,042-389-1314
우리동네한의원,37.3928,126.9405,34074,042-824-0940
삼성공감정신건강의원,37.3831,126.9428,34086,042-721-3456
